number_of_qubits,number_of_classical_bits,depth,width,total_operations,single_qubit_gates,two_qubit_gates,three_qubit_gates,measurement_gates,parameterized_gates,entangling_gates,gate_ccx,gate_cp,gate_cx,gate_cz,gate_h,gate_measure,gate_rx,gate_ry,gate_rz,gate_s,gate_sdg,gate_swap,gate_sx,gate_t,gate_x,gate_y,gate_z
5,5,30,10,111,71,34,1,5,25,35,1,9,7,8,12,5,9,4,3,4,0,10,3,9,5,13,9
7,7,33,14,179,125,42,5,7,55,47,5,14,6,13,7,7,16,10,15,9,0,9,15,14,8,15,16
4,4,29,8,82,56,19,3,4,24,22,3,2,8,5,8,4,8,4,10,6,0,4,5,7,4,2,2
3,3,11,6,26,17,5,1,3,5,6,1,0,2,0,3,3,2,2,1,1,0,3,0,1,3,1,3
9,9,31,18,209,139,52,9,9,54,61,9,16,12,14,17,9,12,13,13,15,0,10,10,14,12,14,19
2,2,15,4,20,8,10,0,2,5,10,0,3,4,0,3,2,1,1,0,0,0,3,1,0,0,2,0
8,8,29,16,118,76,31,3,8,29,34,3,7,10,8,8,8,12,4,6,7,0,6,9,5,11,6,8
12,12,7,24,60,24,24,0,12,0,24,0,0,9,11,3,12,0,0,0,5,2,4,2,0,0,8,4
10,10,23,20,176,112,54,0,10,0,54,0,0,20,15,16,10,0,0,0,16,20,19,14,0,13,20,13
7,7,42,14,212,137,58,10,7,58,68,10,17,13,17,18,7,13,10,18,10,0,11,9,14,12,15,18
8,8,34,16,211,142,61,0,8,0,61,0,0,21,12,17,8,0,0,0,18,25,28,23,0,16,24,19
7,7,24,14,94,25,50,12,7,22,62,12,11,15,11,2,7,4,3,4,1,0,13,0,2,2,4,3
11,11,22,22,158,70,70,7,11,35,77,7,20,16,16,7,11,6,8,1,8,0,18,8,9,7,6,10
8,8,21,16,97,25,57,7,8,21,64,7,18,14,15,2,8,1,2,0,3,0,10,4,3,5,3,2
3,3,27,6,57,39,13,2,3,15,15,2,5,4,1,6,3,3,4,3,0,0,3,5,2,3,2,11
3,3,47,6,88,39,39,7,3,20,46,7,9,9,11,4,3,4,4,3,4,0,10,2,6,5,2,5
8,8,34,16,209,138,63,0,8,0,63,0,0,19,16,17,8,0,0,0,17,22,28,21,0,24,16,21
3,3,58,6,136,95,38,0,3,0,38,0,0,13,12,12,3,0,0,0,11,11,13,18,0,17,12,14
11,11,26,22,214,131,72,0,11,0,72,0,0,19,34,15,11,0,0,0,20,22,19,19,0,19,19,17
12,12,17,24,149,87,45,5,12,43,50,5,12,12,9,4,12,15,11,5,8,0,12,8,11,9,6,10
3,3,58,6,140,103,34,0,3,0,34,0,0,12,13,9,3,0,0,0,13,15,9,19,0,16,11,20
10,10,29,20,215,140,55,10,10,48,65,10,15,15,7,18,10,10,12,11,18,0,18,16,12,11,15,17
8,8,31,16,80,48,24,0,8,48,24,0,0,24,0,0,8,0,24,24,0,0,0,0,0,0,0,0
9,9,17,18,120,78,33,0,9,0,33,0,0,15,8,14,9,0,0,0,9,15,10,12,0,10,10,8
2,2,15,4,23,14,7,0,2,5,7,0,0,2,2,1,2,3,1,1,0,0,3,0,2,2,1,3
12,12,39,24,218,95,104,7,12,101,111,7,76,10,6,17,12,10,7,8,10,0,12,10,6,11,8,8
8,8,9,16,58,40,6,4,8,16,10,4,3,0,3,5,8,3,5,5,6,0,0,3,5,2,2,4
10,10,37,20,100,60,30,0,10,60,30,0,0,30,0,0,10,0,30,30,0,0,0,0,0,0,0,0
4,4,41,8,114,77,28,5,4,35,33,5,8,5,6,11,4,11,3,13,9,0,9,6,4,8,5,7
6,6,30,12,170,154,10,0,6,136,10,0,10,0,0,3,6,37,46,43,2,0,0,4,2,10,4,3
6,6,34,12,123,71,41,5,6,33,46,5,19,3,6,11,6,5,5,4,4,0,13,11,8,11,4,8
12,12,31,24,212,60,120,20,12,53,140,20,37,29,28,9,12,4,8,4,3,0,26,5,8,4,5,10
11,11,36,22,208,142,48,7,11,60,55,7,10,12,12,15,11,16,22,12,16,0,14,15,10,13,10,13
2,2,20,4,38,34,2,0,2,34,2,0,2,0,0,0,2,10,6,16,1,0,0,0,0,1,0,0
11,11,19,22,194,170,11,2,11,148,13,2,9,1,1,4,11,41,54,44,5,0,0,5,3,7,3,4
5,5,46,10,184,136,40,3,5,51,43,3,15,7,3,18,5,13,10,13,15,0,15,18,13,9,14,13
4,4,47,8,174,159,8,3,4,147,11,3,7,1,0,5,4,45,47,48,3,0,0,2,1,2,2,4
8,8,16,16,97,59,29,1,8,22,30,1,5,10,5,5,8,2,9,6,2,0,9,5,7,5,10,8
5,5,42,10,128,49,66,8,5,33,74,8,18,15,14,4,5,5,6,4,5,0,19,3,4,8,8,2
8,8,32,16,190,128,46,8,8,44,54,8,14,13,9,15,8,13,8,9,17,0,10,9,14,18,12,13
12,12,20,24,216,183,18,3,12,163,21,3,14,1,1,7,12,52,37,60,5,0,2,6,3,7,1,5
2,2,15,4,28,24,2,0,2,4,2,0,0,0,2,4,2,1,2,1,4,0,0,3,4,0,2,3
2,2,20,4,31,22,7,0,2,12,7,0,3,2,1,3,2,1,3,5,5,0,1,0,0,2,1,2
5,5,5,10,21,12,4,0,5,2,4,0,1,2,0,1,5,0,0,1,3,0,1,2,1,3,1,0
