reliability_class,reliability_class_label,reliability_score
2,MEDIUM,94.72719807671244
1,LOW,84.33944577670471
0,HIGH,95.14633110267717
2,MEDIUM,94.64068348288804
1,LOW,58.58326205900208
0,HIGH,95.99513472656773
1,LOW,83.79524210281285
1,LOW,74.48684529950775
1,LOW,68.01659566961595
1,LOW,78.89617814996419
1,LOW,84.53846615700022
1,LOW,66.45839008608624
1,LOW,37.27864736743674
1,LOW,52.89080177492409
0,HIGH,98.66020521237525
0,HIGH,96.58027821055302
2,MEDIUM,86.5328526571282
2,MEDIUM,91.39855364364776
1,LOW,51.94571697306053
1,LOW,14.667364302401712
0,HIGH,99.70455128341963
1,LOW,38.27512756380016
1,LOW,82.94506290722305
1,LOW,79.81478453853964
0,HIGH,99.7476500246804
1,LOW,8.05526153481107
2,MEDIUM,88.36539803313973
1,LOW,49.01228077915019
0,HIGH,96.35124822499137
0,HIGH,95.84410384835056
2,MEDIUM,92.39617417502134
1,LOW,11.355196315861136
1,LOW,30.304944894296685
0,HIGH,99.85213817888422
1,LOW,55.29202372768627
2,MEDIUM,92.26900313064816
0,HIGH,96.16974623989468
1,LOW,84.0567146088903
1,LOW,84.19547893865614
1,LOW,74.28590798581742
1,LOW,43.78176083626965
0,HIGH,97.38755691269874
0,HIGH,99.97474293943654
2,MEDIUM,94.71657195807497
0,HIGH,97.03006349929942
2,MEDIUM,86.6808534667546
0,HIGH,97.75492931288927
0,HIGH,98.28575183284636
1,LOW,71.75525257049522
1,LOW,41.958443987103486
1,LOW,27.101294053700062
2,MEDIUM,94.46233961449308
0,HIGH,96.88456458058133
1,LOW,12.731428766849524
1,LOW,55.83324332395322
1,LOW,21.624696437390725
1,LOW,59.89466789392408
0,HIGH,99.12659160660256
2,MEDIUM,88.49789283246334
0,HIGH,95.90696789653944
1,LOW,65.44527856720296
2,MEDIUM,92.24440790312096
1,LOW,66.59428828239957
1,LOW,53.47369219887004
1,LOW,65.10698639205292
1,LOW,7.712018736998456
1,LOW,35.53096261481608
1,LOW,79.60581488383286
0,HIGH,96.91308106079404
0,HIGH,99.97416828686524
1,LOW,43.44527825992137
2,MEDIUM,92.07605875365496
1,LOW,21.17451068888016
1,LOW,52.52955129113235
0,HIGH,96.14295726913082
1,LOW,18.81160051410516
1,LOW,59.021888337921936
1,LOW,28.163686196865505
1,LOW,78.554239939385
1,LOW,70.23137412964361
2,MEDIUM,88.49524163008749
0,HIGH,95.57192312745806
1,LOW,81.63511655209354
0,HIGH,97.65454629786272
2,MEDIUM,94.59154429310058
2,MEDIUM,94.1280930691876
2,MEDIUM,91.37032765201172
2,MEDIUM,92.84717601639592
0,HIGH,99.61613370965308
1,LOW,22.499795094523595
1,LOW,82.66862955137013
2,MEDIUM,87.88217275931727
1,LOW,83.9649320704574
1,LOW,84.22220040068517
0,HIGH,98.74637895312348
0,HIGH,99.8708106274652
0,HIGH,99.38602246390704
2,MEDIUM,89.18957319434739
2,MEDIUM,94.17195275317816
2,MEDIUM,91.52117326421872
0,HIGH,98.8323233048982
0,HIGH,97.26313080361516
2,MEDIUM,93.13784009180748
0,HIGH,99.3128951414132
0,HIGH,99.63052560222562
1,LOW,47.29509994628066
1,LOW,61.927289773653314
1,LOW,77.75410836902212
0,HIGH,96.21560993817312
1,LOW,65.66734225458913
0,HIGH,99.92756816707704
2,MEDIUM,88.20445395864716
0,HIGH,97.67112667601153
0,HIGH,96.00453037550191
1,LOW,65.26112409058786
1,LOW,84.34562952652792
1,LOW,81.29400440387673
1,LOW,72.8505840395441
2,MEDIUM,88.56930658917166
0,HIGH,97.65077063575032
1,LOW,84.75399988844575
2,MEDIUM,93.0888410345692
2,MEDIUM,89.8937568958363
1,LOW,77.68686631271477
1,LOW,18.880023829253307
0,HIGH,97.67469314977686
1,LOW,65.5722494139922
1,LOW,16.923734406964076
